"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Testing","Nomerogram API","Проверка работоспособности API","2","0","0","0","0"
"Basic Tests","Simple Operations","Работа со списками","0","0","1","0","0"
"Basic Tests","Performance Tests","Проверка времени выполнения","0","0","1","0","0"
"API Testing","Nomerogram API","Проверка доступности сервиса","0","0","1","0","0"
"API Testing","Simple API Tests","Проверка HTTP методов","0","0","2","0","0"
"Basic Tests","Simple Operations","Математические операции","0","0","2","0","0"
"Basic Tests","Simple Operations","Работа со строками","0","0","1","0","0"
